REGIAO,BAIRRO,CASOS,ANO
Norte,Alto da Colina,14,2019
Norte,Jardim Alvorada,5,2019
Norte,Jardim Apolo,1,2019
Norte,Jardim Europa,1,2019
Norte,Jardim Itapuã,1,2019
Norte,Jardim Piratininga,1,2019
Norte,Jardim Santa Rosa,3,2019
Norte,Jardim São João,13,2019
Norte,Jardim São Pedro,1,2019
Norte,Jardim Tarumã,1,2019
Norte,Milton Severino,8,2019
Norte,Parque das Árvores,44,2019
Norte,Pedras Preciosas,3,2019
Norte,Samantha II,6,2019
Norte,Santa Elisa,1,2019
Oeste,Pq. Santa Cândida,9,2019
Oeste,Jardim Cândida,17,2019
Oeste,Jardim Rosana,1,2019
Oeste,Jardim São Nicolau,1,2019
Oeste,Jardim Sobradinho,7,2019
Oeste,Nova Olinda,2,2019
Sul,Jardim 15 de Agosto,1,2019
Sul,Jardim Bela Vista,2,2019
Sul,Jardim Copacabana,1,2019
Sul,Jardim Dalla Costa,1,2019
Sul,Jardim Santa Catarina,2,2019
Sul,Jardim Versalles,1,2019
Sul,Narciso Gomes,42,2019
Sul,Parque Industrial,32,2019
Sul,Vila Dona Rosa,7,2019
Sul,Jd. Geny Mercateli,4,2019
Sul,Jd. Marabá,3,2019
Sul,Jd. Dalla Costa,1,2019
Sul,Vila São Jorge,3,2019
Nordeste,Jd. Buzolin,2,2019
Nordeste,Center Martini,7,2019
Nordeste,Jardim Campestre,2,2019
Nordeste,Jardim das Flores,17,2019
Nordeste,Jardim das Palmeiras,1,2019
Nordeste,Jardim Fátima,23,2019
Nordeste,Jardim Itália,2,2019
Nordeste,Jardim Luiza Maria,4,2019
Nordeste,Jardim Madalena Canossa,1,2019
Nordeste,Jardim Nova Suiça,2,2019
Nordeste,Jardim Santa Marta,1,2019
Nordeste,Vila Rodini,1,2019
Sudeste,Jardim Celina,7,2019
Sudeste,Jardim das Nações,16,2019
Sudeste,Jardim Dom Bosco,2,2019
Sudeste,Jardim Paulista,3,2019
Sudeste,Jardim Portal do Parque,2,2019
Sudeste,Jardim Ouro Verde,4,2019
Sudeste,Jardim Tangará,2,2019
Sudeste,Olivia Park,5,2019
Sudeste,Terras  de Carolina,3,2019
Sudeste,Vila Lobos,6,2019
Sudoeste,Bom Jesus,6,2019
Sudoeste,Jardim 8 de Abril,2,2019
Sudoeste,Jardim Abolição,1,2019
Sudoeste,Jardim Belvedere,9,2019
Sudoeste,Jardim dos Ypês,2,2019
Sudoeste,Jardim Nova Araras,1,2019
Leste I,Jd. Costa Verde,3,2019
Leste I,Jd. Mirian,2,2019
Leste I,Jardim Itamaraty,3,2019
Leste I,José Ometto 1,9,2019
Leste I,José Ometto 2,26,2019
Leste I,José Ometto 3,5,2019
Leste I,José Ometto 4,7,2019
Leste I,José Ometto 5,6,2019
Leste I,Warley Colombini,5,2019
Leste II,Distrito Industrial IV,1,2019
Leste II,Jardim Morumbi,40,2019
Leste II,Parque Dom Pedro,29,2019
Leste II,Parque Tiradentes,52,2019
Leste II,Portal do Sol,6,2019
Assentamentos,Assentamento 3,2,2019
Assentamentos,Assentamento 4,7,2019
Rural,Bairro Loreto,1,2019
Rural,Cascata,2,2019
Rural,Fazenda Morro Alto,1,2019
Rural,Marimbondo,1,2019
Rural,Morro Grande,7,2019
Rural,Sítio Recreio Independente,1,2019
Rural,Sítio Santa Rita,1,2019
Rural,Sítio São Sebastião,1,2019
Norte,Alto da Colina,4,2020
Norte,Jardim Alvorada,9,2020
Norte,Jardim Haise Maria,13,2020
Norte,Jardim Nova Europa,2,2020
Norte,Jardim Esmeralda,1,2020
Norte,Jardim Piratininga,14,2020
Norte,Jardim Santo Antônio,17,2020
Norte,Jardim Santa Rosa,3,2020
Norte,Jardim São João,95,2020
Norte,Jd. N.S. Aparecida,8,2020
Norte,Jardim São Pedro,6,2020
Norte,Jardim Itapuã,1,2020
Norte,Milton Severino,4,2020
Norte,Jd. Morada so Sol,1,2020
Norte,Parque das Árvores,22,2020
Norte,Jardim Apollo,1,2020
Norte,Pedras Preciosas,1,2020
Norte,Samantha ,3,2020
Norte,Jd. Da Colina,2,2020
Norte,Jd. Alto das Araras,3,2020
Norte,Jd. Tarumã,3,2020
Oeste,Pq. Santa Cândida,14,2020
Oeste,Jardim Cândida,73,2020
Oeste,Novo Cândida,2,2020
Oeste,Jd. Maria Lúcia,1,2020
