MÊS,ANO,AUTÓCTONES,IMPORTADOS,TOTAL_POSITIVOS
JANEIRO,2013,6,0.0,6
FEVEREIRO,2013,31,0.0,31
MARÇO,2013,220,0.0,220
ABRIL,2013,603,0.0,603
MAIO,2013,356,0.0,356
JUNHO,2013,57,0.0,57
JULHO,2013,13,0.0,13
AGOSTO,2013,3,0.0,3
SETEMBRO,2013,2,0.0,2
OUTUBRO,2013,5,0.0,5
NOVEMBRO,2013,5,0.0,5
DEZEMBRO,2013,0,0.0,0
JANEIRO,2014,0,0.0,0
FEVEREIRO,2014,2,1.0,3
MARÇO,2014,1,2.0,3
ABRIL,2014,34,11.0,45
MAIO,2014,35,7.0,42
JUNHO,2014,19,2.0,21
JULHO,2014,3,3.0,6
AGOSTO,2014,2,1.0,3
SETEMBRO,2014,0,0.0,0
OUTUBRO,2014,3,0.0,3
NOVEMBRO,2014,1,0.0,1
DEZEMBRO,2014,0,0.0,0
JANEIRO,2015,11,7.0,18
FEVEREIRO,2015,106,25.0,131
MARÇO,2015,646,46.0,692
ABRIL,2015,988,43.0,1031
MAIO,2015,690,26.0,716
JUNHO,2015,194,8.0,202
JULHO,2015,10,2.0,12
AGOSTO,2015,3,2.0,5
SETEMBRO,2015,1,0.0,1
OUTUBRO,2015,1,0.0,1
NOVEMBRO,2015,0,0.0,0
DEZEMBRO,2015,6,0.0,6
JANEIRO,2016,12,3.0,15
FEVEREIRO,2016,76,3.0,79
MARÇO,2016,143,4.0,147
ABRIL,2016,115,5.0,120
MAIO,2016,38,1.0,39
JUNHO,2016,6,0.0,6
JULHO,2016,1,0.0,1
AGOSTO,2016,0,0.0,0
SETEMBRO,2016,0,1.0,1
OUTUBRO,2016,3,0.0,3
NOVEMBRO,2016,1,0.0,1
DEZEMBRO,2016,0,0.0,0
JANEIRO,2017,1,0.0,1
FEVEREIRO,2017,0,0.0,0
MARÇO,2017,2,1.0,3
ABRIL,2017,8,0.0,8
MAIO,2017,2,0.0,2
JUNHO,2017,1,0.0,1
JULHO,2017,1,0.0,1
AGOSTO,2017,0,1.0,1
SETEMBRO,2017,3,1.0,4
OUTUBRO,2017,1,1.0,2
NOVEMBRO,2017,5,0.0,5
DEZEMBRO,2017,1,0.0,1
JANEIRO,2018,0,0.0,0
FEVEREIRO,2018,2,0.0,2
MARÇO,2018,1,0.0,1
ABRIL,2018,2,1.0,3
MAIO,2018,2,0.0,2
JUNHO,2018,1,2.0,3
JULHO,2018,1,0.0,1
AGOSTO,2018,0,0.0,0
SETEMBRO,2018,0,1.0,1
OUTUBRO,2018,1,0.0,1
NOVEMBRO,2018,2,0.0,2
DEZEMBRO,2018,0,2.0,2
JANEIRO,2019,5,1.0,6
FEVEREIRO,2019,8,3.0,11
MARÇO,2019,52,5.0,57
ABRIL,2019,172,8.0,180
MAIO,2019,254,10.0,264
JUNHO,2019,91,1.0,92
JULHO,2019,17,1.0,18
AGOSTO,2019,5,0.0,5
SETEMBRO,2019,2,2.0,4
OUTUBRO,2019,2,2.0,4
NOVEMBRO,2019,1,0.0,1
DEZEMBRO,2019,10,1.0,11
JANEIRO,2020,80,3.0,83
FEVEREIRO,2020,219,7.0,226
MARÇO,2020,206,2.0,208
ABRIL,2020,215,0.0,215
MAIO,2020,105,0.0,105
JUNHO,2020,28,0.0,28
